GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-J2S48_RS20875	4315.81681438768	-5.24838131174462	0.279240129568746	-18.7952258862297	8.26276294182406e-79	2.89444585852097e-75
gene-J2S48_RS20100	16788.1202286816	-7.6086810771161	0.429964439565984	-17.6960705978301	4.49603992614844e-70	7.87481393064898e-67
gene-J2S48_RS06520	1608.58286999565	-4.94558536349639	0.303293923023002	-16.3062461463209	8.91030187346755e-60	1.04042624875856e-56
rna-J2S48_RS07170	905.14490994612	-7.33191404298222	0.456139220499825	-16.0738513889424	3.89139344923771e-58	3.40788781316993e-55
rna-J2S48_RS12480	1516.02432856795	-7.85929769358667	0.490129940982414	-16.035130761107	7.26305649731975e-58	5.08849738202221e-55
MSTRG.97.1	30902.4723753917	-7.55012906056187	0.512154032804708	-14.7419107865169	3.46830921512437e-49	2.02491453009678e-46
rna-J2S48_RS12475	621.267723961369	-5.37383034442839	0.375084454411161	-14.3269876456615	1.48420098185628e-46	7.42736577063221e-44
gene-J2S48_RS16660	7572.99540398537	4.86020816142638	0.339820828240615	14.3022668345245	2.11796615583478e-46	9.27404430486155e-44
MSTRG.767.1	8955.62601054122	-4.63366681400415	0.336740381452486	-13.7603538786095	4.4136117414912e-43	1.7178757700493e-40
gene-J2S48_RS02325	885.950671232426	-10.3021288401388	0.767334183085699	-13.425869806439	4.26546495428875e-41	1.49419237348735e-38
MSTRG.3499.1	4049.1759110769	-3.43417533968513	0.27595992021752	-12.4444714180893	1.49873261049133e-35	4.77278212231922e-33
gene-J2S48_RS13825	2713.92351101304	3.6371459649153	0.294614197602704	12.3454537985983	5.15427944365366e-35	1.5046200742599e-32
MSTRG.1235.1	7313.10096313686	-3.61387530426835	0.297386463763303	-12.1521176805973	5.58986763439481e-34	1.50625433256038e-31
gene-J2S48_RS00300	1287.44130367662	-3.9406072182986	0.324971280160507	-12.1260168478651	7.68997309520583e-34	1.924141125179e-31
gene-J2S48_RS21085	1023.71707547629	-4.09597536454632	0.344548978692326	-11.8879335532842	1.36748141186591e-32	3.19352492384419e-30
gene-J2S48_RS02320	382.006073064233	-5.13373323428993	0.435573661718664	-11.786142472512	4.60138061058275e-32	1.00741476742946e-29
gene-J2S48_RS18870	3790.70479426562	-3.49112551340325	0.297407215178941	-11.738536710694	8.08735991554983e-32	1.66647186965712e-29
gene-J2S48_RS10185	45247.2998548647	6.05033456097089	0.528794797093272	11.4417437429962	2.58634355013114e-30	5.03331192006077e-28
gene-J2S48_RS13845	3299.89762144301	3.11753370173921	0.27384203255777	11.3844236132068	4.99977332544547e-30	8.81278468669468e-28
gene-J2S48_RS02120	350.654888207107	-4.65100776596089	0.408561178134933	-11.3838710451947	5.03156419451595e-30	8.81278468669468e-28
gene-J2S48_RS20595	2320.37298380218	3.42201822756348	0.301320316304877	11.356745769844	6.86546468362084e-30	1.1452248946059e-27
gene-J2S48_RS14420	4456.22097244858	-3.61020345238734	0.321321436290286	-11.2354889672715	2.72978313539518e-29	4.34655923785877e-27
gene-J2S48_RS20105	409.630729458551	-4.04299134161837	0.365608545998522	-11.0582517445714	1.99956908229776e-28	3.04543065012568e-26
gene-J2S48_RS20885	1563.75251805243	-3.96095476122977	0.359080633294716	-11.0308225895848	2.71371455650745e-28	3.96089253810233e-26
gene-J2S48_RS16725	409.29570477761	-4.30141957556516	0.394120707186424	-10.9139649278325	9.88488585990272e-28	1.38507020668957e-25
gene-J2S48_RS12905	582.293079247695	-3.93508463207574	0.364334941469784	-10.8007335673076	3.41464476100139e-27	4.60057715299534e-25
MSTRG.3234.1	569.802485274414	-3.65274413378846	0.341327877915143	-10.7015698691232	1.00068307036757e-26	1.29829362796208e-24
gene-J2S48_RS20880	578.393541863501	-4.42047262966782	0.413697980485717	-10.6852651890585	1.19307589394362e-26	1.49262316303018e-24
MSTRG.1650.1	44112.4032221786	-6.00406223837457	0.570145152400847	-10.5307608301006	6.23286472181867e-26	7.52887073121751e-24
gene-J2S48_RS04025	488.226831309275	-4.23041167885771	0.403173899995538	-10.4927716771957	9.32520064631382e-26	1.08887259546791e-23
gene-J2S48_RS16555	20120.288532667	-4.71115250399676	0.449941812970013	-10.4705816801043	1.17916186126124e-25	1.3324529032252e-23
gene-J2S48_RS25950	1236.58847563249	3.09940346822414	0.296209119675895	10.4635653068867	1.2698558729933e-25	1.39009535096735e-23
gene-J2S48_RS17270	5374.8117468712	3.4517218295539	0.33100901659469	10.4278785667655	1.84971882701411e-25	1.96350456091831e-23
gene-J2S48_RS25930	570.277755219053	3.9222728187373	0.378445536446634	10.3641672076912	3.60888315830512e-25	3.7182110892773e-23
gene-J2S48_RS25910	860.097846037744	-4.15734642733691	0.402313469031075	-10.3335999099145	4.9661092767033e-25	4.97036594179762e-23
MSTRG.487.1	5097.20610955549	-3.39965904252816	0.331342943913929	-10.2602427634954	1.06438814321962e-24	1.03570879602731e-22
MSTRG.72.1	3243.92700325759	2.61333909583471	0.25497605193187	10.249351168607	1.19140586788782e-24	1.12797155546244e-22
gene-J2S48_RS16800	449.877087726002	4.18469388968789	0.408613459230916	10.2412042363074	1.29612923057382e-24	1.19482649860529e-22
gene-J2S48_RS13780	894.074804665993	3.31594596608549	0.32473510474147	10.211233456652	1.76605332088187e-24	1.5862781494998e-22
gene-J2S48_RS25310	2137.54820684477	2.92296148275536	0.287215835909759	10.1768813460332	2.51492394919864e-24	2.20244464851071e-22
rna-J2S48_RS06045	663.875201227452	-3.73295141201665	0.370976267112939	-10.0625073433072	8.09109502540019e-24	6.91295265218948e-22
gene-J2S48_RS06720	411.909494691217	-4.72035919826514	0.47209083026273	-9.9988368671303	1.54197478523987e-23	1.28608039826078e-21
gene-J2S48_RS12825	1548.6964418871	-3.84329838019851	0.385829219403761	-9.96113872904111	2.25465272025084e-23	1.79501101796334e-21
rna-J2S48_RS15025	361.276000460169	-5.07269716875959	0.509216346937157	-9.96177204300478	2.24033380028468e-23	1.79501101796334e-21
gene-J2S48_RS14920	19708.3142465184	-2.76545424868801	0.277820362226308	-9.95410929035979	2.41979984836671e-23	1.88367974862857e-21
MSTRG.1298.1	2743.75881960794	-3.69432756994331	0.371610085908811	-9.94140823952192	2.74912864432564e-23	2.04897822150483e-21
gene-J2S48_RS13770	59093.2245727178	-4.35577213464561	0.438109836576536	-9.94219205093031	2.72757841649152e-23	2.04897822150483e-21
gene-J2S48_RS17750	1882.48824569755	2.96110242169092	0.29942649469096	9.889246523582	4.63503277966833e-23	3.38260829732878e-21
gene-J2S48_RS13785	2684.75036691384	3.11520404334897	0.316786360239592	9.83376948740114	8.05462109289828e-23	5.75823218131075e-21
gene-J2S48_RS00400	1144.56700871318	3.38450473227295	0.34538695389471	9.79916784379966	1.13516959755243e-22	7.95299820045234e-21
gene-J2S48_RS21140	613.00907364002	3.57797488451028	0.36754477574631	9.73480000428547	2.1423870449014e-22	1.47152584672345e-20
